City;ID;ICAO Code;IATA Code;Type;Airport Name;Latitude (Degrees);Longitude (Degrees);Continent;Local_code
Ta'izz;5321;OYTZ;TAI;medium_airport;Ta'izz International Airport;13.68599987;44.13909912;AS;--
Taif;5122;OETF;TIF;medium_airport;Ta’if Regional Airport;21.483001;40.543442;AS;--
Tab;14680;85IN;--;small_airport;Leak Airport;40.43389893;-87.50499725;NA;85IN
Taba;3200;HETB;TCP;medium_airport;Taba International Airport;29.58779907;34.77809906;AS;--
Tabal Island;309427;TBV;TBV;small_airport;Tabal Airstrip;8.3027;171.1615;OC;--
Tabaporã;36263;SITC;--;small_airport;Carmine Castaldo Airport;-11.30222225;-56.83666611;SA;--
Tabaporã;37724;SSXI;--;small_airport;Fazenda Macisa Airport;-11.17944431;-56.79111099;SA;--
Tabarka;2131;DTKA;TBJ;medium_airport;Tabarka 7 Novembre Airport;36.97999954;8.876939774;AF;--
Tabas;5186;OIMT;TCX;medium_airport;Tabas Airport;33.6678009;56.8927002;AS;--
Tabatinga;5988;SBTT;TBT;medium_airport;Tabatinga Airport;-4.255670071;-69.93579865;SA;--
Tabay;327617;AR-0633;--;small_airport;Rincón de Luna Airport;-28.470238;-58.249234;SA;1300
Tabbing Tinggi-Sumatra Island;41464;WIMT;--;small_airport;Tebing Tinggi Airport;3.366667032;99.1166687;AS;--
Taber;841;CED5;--;small_airport;Taber Airport;49.8266983;-112.1849976;NA;CED5
Tabiteuea South;32479;NGTS;TSU;small_airport;Tabiteuea South Airport;-1.474439979;175.0639954;OC;--
Tablas;5748;RPVU;TBH;medium_airport;Tugdan Airport;12.31099987;122.0849991;AS;--
Table Grove;18027;IL54;--;small_airport;Richmond Airport;40.34420013;-90.44280243;NA;IL54
Tablelands;333862;AU-0119;--;small_airport;Banka Banka Airstrip;-18.79853;134.039619;OC;--
Tablón De Tamara;40671;SK-129;--;small_airport;Tablón De Tamara Airport;5.733333;-72.166667;SA;TTM
Tabor;30459;LKTV;--;small_airport;Tabor Vsechov Ultralight Airport;49.43780136;14.62170029;EU;--
Tábor;30458;LKTA;--;small_airport;Tábor Airport;49.39110184;14.70829964;EU;--
Tabor City;14538;81NC;--;small_airport;Cox Field;34.04083252;-78.73999786;NA;81NC
Tabora;32426;HTTB;TBO;small_airport;Tabora Airport;-5.07638979;32.83330154;AF;--
Tabossi;324367;AR-0617;--;small_airport;El Ocho Airstrip;-31.799689;-59.703579;SA;--
Tabou;28483;DITB;TXU;small_airport;Tabou Airport;4.437809467;-7.362728119;AF;--
Tabriz;5204;OITT;TBZ;large_airport;Tabriz International Airport;38.13389969;46.23500061;AS;--
Tabscott;25440;VG05;--;small_airport;Payne Airport;37.87960052;-78.05750275;NA;VG05
Tabuaeran Island;32466;PLFA;TNV;small_airport;Tabuaeran Island Airport;3.89944005;-159.3890076;OC;--
Tabubil;32425;AYTB;TBG;small_airport;Tabubil Airport;-5.27861;141.225998;OC;--
Tabuk;5121;OETB;TUU;medium_airport;Tabuk Airport;28.3654;36.6189;AS;--
Tacámbaro;319681;MX-0261;--;small_airport;Cutzarondiro;19.178122;-101.500299;NA;ACK
Tacheng;28144;ZWTC;TCG;small_airport;Tacheng Airport;46.67250061;83.34079742;AS;--
Tachileik;26742;VYTL;THL;medium_airport;Tachileik Airport;20.48380089;99.93540192;AS;--
Esmeraldas;6084;SETN;ESM;small_airport;General Rivadeneira Airport;0.978519022;-79.62660217;SA;--
Tachov;30461;LKTD;--;small_airport;Tachov Oldrichov Airport;49.79779816;12.70689964;EU;--
Taciba;35821;SDYN;--;small_airport;Fazenda Esmeralda Airport;-22.58888817;-51.29888916;SA;--
Tacloban;5732;RPVA;TAC;medium_airport;Daniel Z. Romualdez Airport;11.228035;125.027761;AS;DZR
Tacna;6238;SPTN;TCQ;medium_airport;Coronel FAP Carlos Ciriani Santa Rosa International Airport;-18.05330086;-70.27580261;SA;--
Tacoma;3918;KTCM;TCM;large_airport;McChord Air Force Base;47.13769913;-122.4759979;NA;TCM
Tacoma;3922;KTIW;TIW;medium_airport;Tacoma Narrows Airport;47.26789856;-122.5780029;NA;TIW
Tacotalpa;319383;MX-0215;--;small_airport;Lomas Tristes Airport;17.576836;-92.569234;NA;LTT
Tacotalpa;319384;MX-0216;--;small_airport;San Carlos Airport;17.584395;-92.82096;NA;OFS
Tacuarembo;32423;SUTB;TAW;small_airport;Tacuarembo Airport;-31.749001;-55.925801;SA;--
Tacuarembó;326535;SUFT;--;small_airport;Frigorifico Tacuarembó Airport;-31.703611;-55.943056;SA;--
Tacuru;36110;SIMI;--;small_airport;Fazenda Boa Vista Airport;-23.63694382;-55.18444443;SA;--
Tacuru;37205;SNOQ;--;small_airport;Fazenda Agropecuária Crioulo Airport;-23.5988884;-55.14250183;SA;--
Tacuru;37599;SSON;--;small_airport;Fazenda Joalice Airport;-23.78777885;-55.02916718;SA;--
Tacuru;37633;SSRD;--;small_airport;Fazenda Sol Nascente Airport;-23.39749908;-55.24833298;SA;--
Tacuru;37693;SSVE;--;small_airport;Fazenda Cerro Verde Airport;-23.81277847;-55.0577774;SA;--
Tacuru;37767;SSZH;--;small_airport;Fazenda Procomp I Airport;-23.64611053;-54.71472168;SA;--
Tadjoura;32430;HDTJ;TDJ;small_airport;Tadjoura Airport;11.78299999;42.91699982;AF;--
Tadlitium;42678;KE-0035;--;small_airport;Tadlitium Airport;-2.122875929;36.81748199;AF;--
Tadmur;5307;OSPR;PMS;medium_airport;Palmyra Airport;34.5574;38.316898;AS;--
Tadoule Lake;1677;CYBQ;XTL;medium_airport;Tadoule Lake Airport;58.7061;-98.512199;NA;--
Taean;323266;RKTA;QDY;small_airport;Taean Airport;36.59453;126.295803;AS;--
Taechon;35216;KP-0006;--;small_airport;Taechon Airport;39.9039;125.491997;AS;--
Taechon;35253;KP-0043;--;small_airport;Taechon Northwest Airport;39.99343;125.365505;AS;--
Taetan;35215;KP-0005;--;small_airport;T'aet'an-pihaengjang Airport;38.131113;125.233154;AS;--
Tafalla;315992;ES-0032;--;small_airport;Aerodromo de Monteplano;42.4939531;-1.7008017;EU;--
Tafelberg;32331;SMTB;--;small_airport;Rudi Kappel Airport;3.787625;-56.149487;SA;--
Taft;20287;KL17;--;small_airport;Taft Kern County Airport;35.14110184;-119.4410019;NA;L17
Taftan;41626;OPTT;TFT;small_airport;Taftan Airport;28.96419907;61.59540176;AS;--
Tafton;322325;US-0454;--;small_airport;Pumpkin Patch Field;34.636768;-92.217762;NA;--
Taganassay;41910;KZ-0058;--;small_airport;Taganassay Airport;42.2181015;69.00440216;AS;--
Taganrog;44866;RU-0211;--;medium_airport;Taganrog Tsentralny Air Base;47.24645;38.8403;EU;XRRC
